mse,psnr,ssim,hist_diff,r_diff,g_diff,b_diff,h_diff,s_diff,v_diff,deepfake
0.06466871584699453,64.79507378517081,0.9998687570939803,0.0005074010180738176,0.006167056981581709,0.0007733216281451405,0.0018540203058137195,0.006015807966051057,0.018442622963938504,0.00026102653924908736,False
0.005425448868071819,75.5576594074214,0.9999871347871073,0.00020333833527958124,1.951599634253398e-05,0.000624512095356522,0.0010928961725937825,0.0023614363783082126,0.0009465261603409658,0.0006245121071799531,False
2084.971767661983,19.711014369644275,0.5049839015061195,0.007648424979319382,0.9729947306714166,0.6670399102174542,0.893496291955671,0.2561451014806835,0.671557864948106,0.752610265430377,False
2085.9611704722874,19.70895395680461,0.5093724966426899,0.007048510322670946,1.0131001171014304,0.5872731264621507,0.895208821242619,0.075675741605437,0.6226800351198492,0.6987119437867477,False
2058.777349238876,19.76592234110607,0.518245212328287,0.007908607380630388,0.8191476385607075,0.5987802498124779,0.8715700624512408,0.061577868852623396,0.5172814207672118,0.6615339578442558,False
2068.6564158860265,19.745132511063797,0.5212097330732122,0.005630270723633935,0.7526127049148101,0.6968896370052278,0.9758587041297062,0.0888636807174521,0.23179400859444854,0.813448965656363,False
2086.4587480483997,19.707918130109945,0.5199132970267226,0.005970777529490466,0.8133489461400245,0.5435255659649556,0.8832113583170838,0.04428669008802899,0.49578210381299215,0.6217505854717444,False
2081.0791300741607,19.719130216319776,0.5183198387800995,0.006018232104864624,0.9327112607295192,0.5596701795478509,0.8932767369292378,0.008467505856984303,0.7368388954083187,0.6082284348213705,False
2018.8337578064013,19.85101057436334,0.5187180905813275,0.007626125621755108,0.5622950819696086,0.32633440671796166,0.557111143633847,0.08396516393686682,0.4973458235688497,0.3340505464339003,False
2026.3569476971115,19.834856657968892,0.5158008357983429,0.004884723069091281,0.7377024785353967,0.25592798594752253,0.5778371389586994,0.15599141295973595,0.8591725214635346,0.2433621194435318,False
2111.010770394223,19.65711166500264,0.5093789462139179,0.007363675139040183,0.602488290390994,0.2240827478469214,0.5288812451177876,0.07154322794411883,0.7851263661290062,0.18846360266056195,False
3568.143535323966,17.377592992149516,0.4375958689533717,0.012004640896076862,0.5849165690914901,0.21970872366048866,0.18767076503030466,0.38636075331679365,1.6542788836917595,0.43411641295665504,False
2285.368886612022,19.312453050592563,0.4998984130090527,0.0050483139218003865,0.12496340749379442,0.33972238484187756,0.00947501951469576,0.006464676034866557,0.5363095237998152,0.3297911787607575,False
